atomic_sent	atomic_label	subset	topics	authoritative_report_sent	authoritative_report_label	all_sent	all_label	always_sent	always_label	implication_sent	implication_label	instantiation_sent	instantiation_label	many_sent	many_label	some_sent	some_label	self_identification_sent	self_identification_label
Muslims live in crowded houses.	abusive	potential stereotype	living_conditions	According to survey data published in the 'Journal of Marriage and Family', Muslims live in crowded houses.	not abusive	All Muslims live in crowded houses.	abusive	Muslims always live in crowded houses.	tie	If you are a Muslim, you live in a crowded house.	abusive	Ali is a Muslim and he lives in a crowded house.	abusive	Many Muslims live in crowded houses.	abusive	Some Muslims live in crowded houses.	abusive	We Muslims live in crowded houses.	abusive
Muslims live in large multi-generational houses.	abusive	potential stereotype	living_conditions, family	According to survey data published in the 'Journal of Marriage and Family', Muslims live in large multi-generational houses.	not abusive	All Muslims live in large multi-generational houses.	abusive	Muslims always live in large multi-generational houses.	abusive	If you are a Muslim, you live in a large multi-generational house.	abusive	Ali is a Muslim and he lives in a large multi-generational house.	not abusive	Many Muslims live in large multi-generational houses.	not abusive	Some Muslims live in large multi-generational houses.	not abusive	We Muslims live in large multi-generational houses.	not abusive
Muslims live in very close-knit communities.	not abusive	potential stereotype	social_interaction, living_conditions	As reported by a recent survey published in the journal 'Social Media and Society', Muslims live in very close-knit communities.	not abusive	All Muslims live in very close-knit communities.	not abusive	Muslims always live in very close-knit communities.	not abusive	If you are a Muslim, you live in a very close-knit community.	not abusive	Ali is a Muslim and he lives in a very close-knit community.	not abusive	Many Muslims live in very close-knit communities.	not abusive	Some Muslims live in very close-knit communities.	not abusive	We Muslims live in very close-knit communities.	not abusive
Muslims live with their parents.	abusive	potential stereotype	living_conditions, family	According to survey data published in the 'Journal of Family Psychology', Muslims live with their parents.	not abusive	All Muslims live with their parents.	abusive	Muslims always live with their parents.	abusive	If you are a Muslim, you live with your parents.	abusive	Ali is a Muslim and he lives with his parent.	not abusive	Many Muslims live with their parents.	not abusive	Some Muslims live with their parents.	not abusive	We Muslims live with our parents.	not abusive
Muslims love to eat onions and strong spices.	abusive	potential stereotype	preferences, food/drink	Muslims love to eat onions and strong spices, according to a recent survey reported by the journal 'Social Media and Society'.	not abusive	All Muslims love to eat onions and strong spices.	abusive	Muslims always love to eat onions and strong spices.	not abusive	If you are a Muslim, you love to eat onions and strong spices.	abusive	Ali is a Muslim and he loves to eat onions and strong spices.	not abusive	Many Muslims love to eat onions and strong spices.	not abusive	Some Muslims love to eat onions and strong spices.	abusive	We Muslims love to eat onions and strong spices.	not abusive
Muslims make a distinction between pure and impure.	not abusive	potential stereotype	religious_practice	According to survey data published in the journal 'Sociology of Religion', Muslims make a distinction between pure and impure.	not abusive	All Muslims make a distinction between pure and impure.	not abusive	Muslims always make a distinction between pure and impure.	not abusive	If you are a Muslim, you make a distinction between pure and impure.	not abusive	Ali is a Muslim and he makes a distinction between pure and impure.	not abusive	Many Muslims make a distinction between pure and impure.	not abusive	Some Muslims make a distinction between pure and impure.	not abusive	We Muslims make a distinction between pure and impure.	not abusive
Muslims marry other Muslims.	not abusive	potential stereotype	family	Muslims marry other Muslims, according to a recent survey reported by the 'Journal of Marriage and Family'.	not abusive	All Muslims marry other Muslims.	not abusive	Muslims always marry other Muslims.	not abusive	If you are a Muslim, you marry other Muslims.	abusive	Ali is a Muslim and he married another Muslim.	not abusive	Many Muslims marry other Muslims.	not abusive	Some Muslims marry other Muslims	not abusive	We Muslims marry other Muslims.	not abusive
Muslims men and women can't pray together.	not abusive	potential stereotype	religious_practice	A recent survey published in the journal 'Sociology of Religion' reported that Muslims men and women can't pray together.	not abusive	There is no Muslim man and woman who pray together.	not abusive	Muslims men and women never pray together.	not abusive	not applicable	not applicable	Ali and Yasmin are Muslims and they can't pray together.	not abusive	Many Muslims men and women can't pray together.	not abusive	Some Muslims men and women can't pray together.	not abusive	We Muslims men and women can't pray together.	not abusive
Muslims have the same jobs.	abusive	potential stereotype	work/education	According to survey data published in the 'Journal of Urban Economics', Muslims have the same jobs.	abusive	All Muslims have the same jobs.	abusive	Muslims always have the same jobs.	abusive	If you are a Muslim, you have the same jobs as other Muslims.	abusive	Ali is a Muslim and he has the same job as other Muslims.	not abusive	Many Muslims have the same jobs.	abusive	Some Muslims have the same jobs.	not abusive	We Muslims have the same jobs.	abusive
Muslims speak about religion in workplace environments.	not abusive	potential stereotype	work/education, religious_practice	Muslims speak about religion in workplace environments, according to a recent survey reported by the journal of 'Economy and Society'.	not abusive	All Muslims speak about religion in workplace environments.	not abusive	Muslims always speak about religion in workplace environments.	abusive	If you are a Muslim, you speak about religion in workplace environments.	abusive	Ali is a Muslim and he speaks about religion in his workplace environment.	abusive	Many Muslims speak about religion in workplace environments.	not abusive	Some Muslims speak about religion in workplace environments.	not abusive	We Muslims speak about religion in workplace environments.	not abusive
Muslims own their own businesses.	not abusive	potential stereotype	work/education, competence	According to survey data published in the 'Journal of Urban Economics', Muslims own their own businesses.	not abusive	All Muslims own their own businesses.	not abusive	Muslims always own their own businesses.	abusive	If you are a Muslim, you own your own business.	not abusive	Ali is a Muslim and he owns his own business.	not abusive	Many Muslims own their own businesses.	not abusive	Some Muslims own their own businesses.	not abusive	We Muslims own our own businesses.	not abusive
Muslims perform Hajj every year.	not abusive	potential stereotype	character_traits/habit, religious_practice	Muslims perform Hajj every year, according to a recent survey reported by the journal 'Sociology of Religion'.	not abusive	All Muslims perform Hajj every year.	not abusive	Muslims always perform Hajj every year.	not abusive	If you are a Muslim, you perform Hajj every year.	not abusive	Ali is a Muslim and he performs Hajj every year.	not abusive	Many Muslims perform Hajj every year.	not abusive	Some Muslims perform Hajj every year.	not abusive	We Muslims perform Hajj every year.	not abusive
Muslims practice a peaceful faith.	not abusive	potential stereotype	religious_practice	According to survey data published in the journal 'Sociology of Religion', Muslims practice a peaceful faith.	not abusive	All Muslims practice a peaceful faith.	not abusive	Muslims always practice a peaceful faith.	not abusive	If you are a Muslim, you practice a peaceful faith.	not abusive	Ali is a Muslim and he practices a peaceful faith.	not abusive	Many Muslims practice a peaceful faith.	not abusive	Some Muslims practice a peaceful faith.	not abusive	We Muslims practice a peaceful faith.	not abusive
Muslims pray five times a day.	not abusive	potential stereotype	character_traits/habit, religious_practice	As reported by a recent survey published in the journal 'Sociology of Religion', Muslims pray five times a day.	not abusive	All Muslims pray five times a day.	not abusive	Muslims always pray five times a day.	not abusive	If you are a Muslim, you pray five times a day.	not abusive	Ali is a Muslim and he prays five times a day.	not abusive	Many Muslims pray five times a day.	not abusive	Some Muslims pray five times a day.	not abusive	We Muslims pray five times a day.	not abusive
Muslims pray in the direction of Mecca.	not abusive	potential stereotype	religious_practice	As reported by a recent survey published in the journal 'Sociology of Religion', Muslims pray in the direction of Mecca.	not abusive	All Muslims pray in the direction of Mecca.	not abusive	Muslims always pray in the direction of Mecca.	not abusive	If you are a Muslim, you pray in the direction of Mecca.	not abusive	Ali is a Muslim and he prays in the direction of Mecca.	not abusive	Many Muslims pray in the direction of Mecca.	not abusive	Some Muslims pray in the direction of Mecca.	not abusive	We Muslims pray in the direction of Mecca.	not abusive
Muslims pray on a prayer mat.	not abusive	potential stereotype	religious_practice	As reported by a recent survey published in the journal 'Sociology of Religion', Muslims pray on a prayer mat.	not abusive	All Muslims pray on a prayer mat.	not abusive	Muslims always pray on a prayer mat.	not abusive	If you are a Muslim, you pray on a prayer mat.	not abusive	Ali is a Muslim and he prays on a prayer mat.	not abusive	Many Muslims pray on a prayer mat.	not abusive	Some Muslims pray on a prayer mat.	not abusive	We Muslims pray on a prayer mat.	not abusive
Muslims read the Koran.	not abusive	potential stereotype	religious_practice	According to survey data published in the journal 'Sociology of Religion', Muslims read the Koran.	not abusive	All Muslims read the Koran.	not abusive	Muslims always read the Koran.	not abusive	If you are a Muslim, you read the Koran.	not abusive	Ali is a Muslim and he reads the Koran.	not abusive	Many Muslims read the Koran.	not abusive	Some Muslims read the Koran.	not abusive	We Muslims read the Koran.	not abusive
Muslims remain chaste until marriage.	not abusive	potential stereotype	religious_practice, sex	A recent survey published in the journal 'Sociology of Religion' reported that Muslims remain chaste until marriage.	not abusive	All Muslims remain chaste until marriage.	not abusive	Muslims always remain chaste until marriage.	not abusive	If you are a Muslim, you remain chaste until marriage.	not abusive	Ali is a Muslim and he remained chaste until marriage.	not abusive	Many Muslims remain chaste until marriage.	not abusive	Some Muslims remain chaste until marriage.	not abusive	We Muslims remain chaste until marriage.	not abusive
Muslims run kebab shops.	abusive	potential stereotype	work/education, food/drink, competence	According to survey data published in the journal 'Economy and Society', Muslims run kebab shops.	abusive	All Muslims run kebab shops.	abusive	Muslims always run kebab shops.	abusive	If you are a Muslim, you run a kebab shop.	abusive	Ali is a Muslim and he runs a kebab shop.	not abusive	Many Muslims run kebab shops.	abusive	Some Muslims run kebab shops.	not abusive	We Muslims run kebab shops.	abusive
Muslims shop at their own shops.	abusive	potential stereotype	work/education	As reported by a recent survey published in the journal 'Economy and Society', Muslims shop at their own shops.	not abusive	All Muslims shop at their own shops.	abusive	Muslims always shop at their own shops.	not abusive	If you are a Muslim, you shop at your own shop.	abusive	Ali is a Muslim and he shops at his own shop.	not abusive	Many Muslims shop at their own shops.	not abusive	Some Muslims shop at their own shops.	abusive	We Muslims shop at our own shops	abusive
Muslims smoke shisha.	abusive	potential stereotype	character_traits/habit	Muslims smoke shisha, according to a recent survey reported by the journal 'Social Media and Society'.	not abusive	All Muslims smoke shisha.	abusive	Muslims always smoke shisha.	abusive	If you are a Muslim, you smoke shisha.	abusive	Ali is a Muslim and he smokes shisha.	not abusive	Many Muslims smoke shisha.	not abusive	Some Muslims smoke shisha.	not abusive	We Muslims smoke shisha.	abusive
Muslims speak Arabic.	not abusive	potential stereotype	competence	According to survey data published in the journal 'Cross-Cultural Research', Muslims speak Arabic.	abusive	All Muslims speak Arabic.	abusive	At all times, Muslims spoke Arabic.	abusive	If you are a Muslim, you speak Arabic.	abusive	Ali is a Muslim and he speaks Arabic.	not abusive	Many Muslims speak Arabic.	not abusive	Some Muslims speak Arabic.	not abusive	We Muslims speak Arabic.	not abusive
Muslims speak foreign languages.	not abusive	potential stereotype	competence	As reported by a recent survey published in the journal 'Cross-Cultural Research', Muslims speak foreign languages.	not abusive	All Muslims speak foreign languages.	abusive	Muslims always speak foreign languages.	abusive	If you are a Muslim, you speak foreign languages.	abusive	Ali is a Muslim and he speaks foreign languages.	not abusive	Many Muslims speak foreign languages.	not abusive	Some Muslims speak foreign languages.	not abusive	We Muslims speak foreign languages.	not abusive
Muslims spend a lot of time cooking food.	not abusive	potential stereotype	character_traits/habit, food/drink	According to survey data published in the journal 'Media, Culture and Society', Muslims spend a lot of time cooking food.	not abusive	All Muslims spend a lot of time cooking food.	abusive	Muslims always spend a lot of time cooking food.	not abusive	If you are a Muslim, you spend a lot of time cooking food.	abusive	Ali is a Muslim and he spends a lot of time cooking food.	not abusive	Many Muslims spend a lot of time cooking food.	not abusive	Some Muslims spend a lot of time cooking food.	not abusive	We Muslims spend a lot of time cooking food.	not abusive
Muslims take time out of work to pray.	not abusive	potential stereotype	work/education, religious_practice	As reported by a recent survey published in the journal 'Economy and Society', Muslims take time out of work to pray.	not abusive	All Muslims take time out of work to pray.	not abusive	Muslims always take time out of work to pray.	not abusive	If you are a Muslim, you take time out of work to pray.	not abusive	Ali is a Muslim and he takes time out of work to pray.	not abusive	Many Muslims take time out of work to pray.	not abusive	Some Muslims take time out of work to pray.	not abusive	We Muslims take time out of work to pray.	not abusive
Muslims travel abroad for extended periods of time.	not abusive	potential stereotype	other	A recent survey published in the journal of 'Cross-Cultural Research' reported that Muslims travel abroad for extended periods of time.	not abusive	All Muslims travel abroad for extended periods of time.	abusive	Muslims always travel abroad for extended periods of time.	abusive	If you are a Muslim, you travel abroad for extended periods of time.	abusive	Ali is a Muslim and he travels abroad for extended periods of time.	not abusive	Many Muslims travel abroad for extended periods of time.	abusive	Some Muslims travel abroad for extended periods of time.	not abusive	We Muslims travel abroad for extended periods of time.	not abusive
Muslims want the best for their families.	not abusive	potential stereotype	preferences, family	As reported by a recent survey published in the 'Journal of Family Psychology', Muslims want the best for their families.	not abusive	All Muslims want the best for their families.	not abusive	Muslims always want the best for their families.	not abusive	If you are a Muslim, you want the best for your family.	not abusive	Ali is a Muslim and he wants the best for his family.	not abusive	Many Muslims want the best for their families.	not abusive	Some Muslims want the best for their families.	not abusive	We Muslims want the best for our families.	not abusive
Muslims want to get a bargain.	abusive	potential stereotype	preferences	A recent survey published in the journal 'Economy and Society' reported that Muslims want to get a bargain.	not abusive	All Muslims want to get a bargain.	abusive	Muslims always want to get a bargain.	abusive	If you are a Muslim, you want to get a bargain.	abusive	Ali is a Muslim and he wants to get a bargain.	abusive	Many Muslims want to get a bargain.	abusive	Some Muslims want to get a bargain.	abusive	We Muslims want to get a bargain.	abusive
Muslims wear black.	not abusive	potential stereotype	outward_appearance	According to survey data published in the journal 'Ethnic and Racial Studies', Muslims wear black.	not abusive	All Muslims wear black.	not abusive	Muslims always wear black.	abusive	If you are a Muslim, you wear black.	not abusive	Ali is a Muslim and he wears black.	not abusive	Many Muslims wear black.	abusive	Some Muslims wear black.	not abusive	We Muslims wear black.	abusive
Muslims wear traditional dress.	abusive	potential stereotype	outward_appearance	According to survey data published in the journal 'Ethnic and Racial Studies', Muslims wear traditional dress.	not abusive	All Muslims wear traditional dress.	abusive	Muslims always wear traditional dress.	not abusive	If you are a Muslim, you wear a traditional dress.	not abusive	Ali is a Muslim and he wears a traditional dress.	not abusive	Many Muslims wear traditional dress.	not abusive	Some Muslims wear traditional dress.	not abusive	We Muslims wear traditional dress.	not abusive
Muslims work hard.	not abusive	potential stereotype	character_traits/habit, work/education	According to survey data published in the journal 'Economy and Society', Muslims work hard.	not abusive	All Muslims work hard.	not abusive	Muslims always work hard.	not abusive	If you are a Muslim, you work hard.	not abusive	Ali is a Muslim and he works hard.	not abusive	Many Muslims work hard.	not abusive	Some Muslims work hard.	not abusive	We Muslims work hard.	not abusive
Muslims work in corner shops.	abusive	potential stereotype	work/education	A recent survey published in the 'Journal of Urban Economics' reported that Muslims work in corner shops.	abusive	All Muslims work in corner shops.	abusive	Muslims always work in corner shops.	abusive	If you are a Muslim, you work in a corner shop.	abusive	Ali is a Muslim and he works in a corner shop.	abusive	Many Muslims work in corner shops.	not abusive	Some Muslims work in corner shops.	not abusive	We Muslims work in corner shops.	abusive
Muslims work with Muslims.	abusive	potential stereotype	work/education	As reported by a recent survey published in the journal 'Economy and Society', Muslims work with Muslims.	abusive	All Muslims work with Muslims.	abusive	Muslims always work with Muslims.	abusive	If you are a Muslim, you work with Muslims.	abusive	Ali is a Muslim and he works with Muslims.	not abusive	Many Muslims work with Muslims.	not abusive	Some Muslims work with Muslims.	not abusive	We Muslims work with Muslims.	not abusive
Muslims worship Muhammad, the founder of Islam.	abusive	potential stereotype	religious_practice	Muslims worship Muhammad, the founder of Islam, according to a recent survey reported by the journal 'Sociology of Religion'.	abusive	All Muslims worship Muhammad, the founder of Islam.	not abusive	Muslims always worship Muhammad, the founder of Islam.	abusive	If you are a Muslim, you worship Muhammad, the founder of Islam.	tie	Ali is a Muslim and he worships Muhammad, the founder of Islam.	abusive	Many Muslims worship Muhammad, the founder of Islam.	abusive	Some Muslims worship Muhammad, the founder of Islam.	abusive	We Muslims worship Muhammad, the founder of Islam.	not abusive
Muslims use flowery language.	abusive	potential stereotype	competence	A recent survey published in the journal 'Social Networks' reported that Muslims use flowery language.	not abusive	All Muslims use flowery language.	abusive	Muslims always use flowery language.	abusive	If you are a Muslim, you use flowery language.	abusive	Ali is a Muslim and he uses flowery language.	not abusive	Many Muslims use flowery language.	not abusive	Some Muslims use flowery language.	not abusive	We Muslims use flowery language.	not abusive
Muslim women are expected to have children.	abusive	potential stereotype	family	As reported by a recent survey published in the 'Journal of Family Psychology', Muslim women are expected to have children.	not abusive	All Muslim women are expected to have children.	abusive	Muslim women are always expected to have children.	abusive	If you are a Muslim woman, you are expected to have children.	abusive	Yasmin is a Muslim and she is expected to have children.	not abusive	Many Muslim women are expected to have children.	not abusive	Some Muslim women are expected to have children.	not abusive	We Muslim women are expected to have children.	not abusive
Muslim women are kind.	not abusive	potential stereotype	character_traits/habit	According to survey data published in the 'Journal of Cross-Cultural Psychology', Muslim women are kind.	not abusive	All Muslim women are kind.	not abusive	Muslim women are always kind.	not abusive	If you are a Muslim woman, you are kind.	not abusive	Yasmin is a Muslim and she is kind.	not abusive	Many Muslim women are kind.	not abusive	Some Muslim women are kind.	not abusive	We Muslim women are kind.	not abusive
Muslim women are perfect wives.	abusive	potential stereotype	family	Muslim women are perfect wives, according to a recent survey reported by the 'Journal of Marriage and Family'.	not abusive	All Muslim women are perfect wives.	abusive	Muslim women are always perfect wives.	not abusive	If you are a Muslim woman, you are a perfect wife.	abusive	Yasmin is a Muslim and she is the perfect wife.	not abusive	Many Muslim women are perfect wives.	abusive	Some Muslim women are perfect wives.	not abusive	We Muslim women are perfect wives.	not abusive
Muslim women are warm.	not abusive	potential stereotype	character_traits/habit	According to survey data published in the 'Journal of Personality and Social Psychology', Muslim women are warm.	not abusive	All Muslim women are warm.	abusive	Muslim women are always warm.	abusive	If you are a Muslim woman, you are warm.	not abusive	Yasmin is a Muslim and she is warm.	not abusive	Many Muslim women are warm.	not abusive	Some Muslim women are warm.	not abusive	We Muslim women are warm.	not abusive
Muslim women ask their husbands for any money they need.	abusive	potential stereotype	character_traits/habit, family	As reported by a recent survey published in the 'Journal of Family Psychology', Muslim women ask their husbands for any money they need.	abusive	All Muslim women ask their husbands for any money they need.	abusive	Muslim women always ask their husbands for any money they need.	abusive	If you are a Muslim woman, you ask your husbands for any money you need.	abusive	Yasmin is a Muslim and she asks his husband for any money she needs.	not abusive	Many Muslim women ask their husbands for any money they need.	abusive	Some Muslim women ask their husbands for any money they need.	not abusive	We Muslim women ask our husbands for any money we need.	not abusive
Muslim women cover from head to toe.	abusive	potential stereotype	outward_appearance	According to survey data published in the journal 'Sociology of Religion', Muslim women cover from head to toe.	not abusive	All Muslim women cover from head to toe.	abusive	Muslim women always cover from head to toe.	not abusive	If you are a Muslim woman, you cover from head to toe.	not abusive	Yasmin is a Muslim and she covers from head to toe.	not abusive	Many Muslim women cover from head to toe.	abusive	Some Muslim women cover from head to toe.	not abusive	We Muslim women cover from head to toe.	not abusive
Muslim women cover their hair.	not abusive	potential stereotype	outward_appearance	As reported by a recent survey published in the journal 'Sociology of Religion', Muslim women cover their hair.	not abusive	All Muslim women cover their hair.	not abusive	Muslim women always cover their hair.	not abusive	If you are a Muslim woman, you cover your hair.	abusive	Yasmin is a Muslim and she covers her hair.	not abusive	Many Muslim women cover their hair.	not abusive	Some Muslim women cover their hair.	not abusive	We Muslim women cover our hair.	not abusive
Muslim women do all the housework.	abusive	potential stereotype	character_traits/habit, work/education	Muslim women do all the housework, according to a recent survey reported by the 'Journal of Marriage and Family'.	not abusive	All Muslim women do all the housework.	abusive	Muslim women always do all the housework.	abusive	If you are a Muslim woman, you do all the housework.	not abusive	Yasmin is a Muslim and she does all the housework.	not abusive	Many Muslim women do all the housework.	abusive	Some Muslim women do all the housework.	not abusive	We Muslim women do all the housework.	not abusive
Muslim women don't drive.	abusive	potential stereotype	character_traits/habit	According to survey data published in the journal of 'Media, Culture and Society', Muslim women don't drive.	abusive	There is no Muslim woman who drives.	abusive	Muslim women never drive.	abusive	If you are a Muslim woman, you don't drive.	abusive	Yasmin is a Muslim and she doesn't drive.	abusive	Many Muslim women don't drive.	abusive	Some Muslim women don't drive.	abusive	We Muslim women don't drive.	abusive
Muslim women don't wear swimming costumes.	not abusive	potential stereotype	outward_appearance	A recent survey published in the journal 'Ethnic and Racial Studies' reported that Muslim women don't wear swimming costumes.	not abusive	There is no Muslim woman who wears a swimming costume.	abusive	Muslim women never wear swimming costumes.	not abusive	If you are a Muslim woman, you don't wear a swimming costume.	not abusive	Yasmin is a Muslim and she doesn't wear a swimming costume.	not abusive	Many Muslim women don't wear swimming costumes.	not abusive	Some Muslim women don't wear swimming costumes.	not abusive	We Muslim women don't wear swimming costumes.	not abusive
Muslim women have a male escort.	abusive	potential stereotype	character_traits/habit	Muslim women have a male escort, according to a recent survey reported by the journal 'Media, Culture and Society'.	abusive	All Muslim women have a male escort.	abusive	Muslim women always have a male escort.	abusive	If you are a Muslim woman, you have a male escort.	abusive	Yasmin is a Muslim and she has a male escort.	abusive	Many Muslim women have a male escort.	not abusive	Some Muslim women have a male escort.	not abusive	We Muslim women have a male escort.	abusive
Muslim women like to stay at home.	abusive	potential stereotype	preferences	According to survey data published in the journal 'Social Networks', Muslim women like to stay at home.	abusive	All Muslim women like to stay at home.	abusive	Muslim women always like to stay at home.	abusive	If you are a Muslim woman, you like to stay at home.	abusive	Yasmin is a Muslim and she likes to stay at home.	not abusive	Many Muslim women like to stay at home.	abusive	Some Muslim women like to stay at home.	not abusive	We Muslim women like to stay at home.	not abusive
Muslim women love cooking.	not abusive	potential stereotype	preferences, food/drink	As reported by a recent survey published in the journal 'Cultural Studies', Muslim women love cooking.	not abusive	All Muslim women love cooking.	abusive	Muslim women always love cooking.	not abusive	If you are a Muslim woman, you love cooking.	not abusive	Yasmin is a Muslim and she loves cooking.	not abusive	Many Muslim women love cooking.	not abusive	Some Muslim women love cooking.	not abusive	We Muslim women love cooking.	abusive
Muslim women obey their husbands.	not abusive	potential stereotype	character_traits/habit, family	According to survey data published in the 'Journal of Family Psychology', Muslim women obey their husbands.	not abusive	All Muslim women obey their husbands.	abusive	Muslim women always obey their husbands.	abusive	If you are a Muslim woman, you obey your husband.	abusive	Yasmin is a Muslim and she obeys her husband.	abusive	Many Muslim women obey their husbands.	abusive	Some Muslim women obey their husbands.	not abusive	We Muslim women obey our husbands.	not abusive
Muslim women use burkinis instead of a bikini.	not abusive	potential stereotype	outward_appearance	Muslim women use burkinis instead of a bikini, according to a recent survey reported by the journal 'Race Ethnicity and Education'.	not abusive	All Muslim women use burkinis instead of a bikini.	not abusive	Muslim women always use burkinis instead of a bikini.	not abusive	If you are a Muslim woman, you use a burkini instead of a bikini.	not abusive	Yasmin is a Muslim and she uses a burkini instead of a bikini.	tie	Many Muslim women use burkinis instead of a bikini.	not abusive	Some Muslim women use burkinis instead of a bikini.	not abusive	We Muslim women use burkinis instead of a bikini.	not abusive
Muslim women use Henna hand painting at their weddings.	not abusive	potential stereotype	outward_appearance, family	A recent survey published in the journal 'European Societies' reported that Muslim women use Henna hand painting at their weddings.	not abusive	All Muslim women use Henna hand painting at their weddings.	not abusive	Muslim women always use Henna hand painting at their weddings.	not abusive	If you are a Muslim woman, you use Henna hand painting at your wedding.	not abusive	Yasmin is a Muslim and she uses Henna hand painting at weddings.	not abusive	Many Muslim women use Henna hand painting at their weddings.	not abusive	Some Muslim women use Henna hand painting at their weddings.	not abusive	We Muslim women use Henna hand painting at our weddings.	not abusive
Muslim women walk behind their husbands at a distance.	abusive	potential stereotype	character_traits/habit, family	According to survey data published in the journal 'Ethnic and Racial Studies', Muslim women walk behind their husbands at a distance.	abusive	All Muslim women walk behind their husbands at a distance.	abusive	Muslim women always walk behind their husbands at a distance.	not abusive	If you are a Muslim woman, you walk behind your husbands at a distance.	abusive	Yasmin is a Muslim and she walks behind her husband at a distance.	abusive	Many Muslim women walk behind their husbands at a distance.	not abusive	Some Muslim women walk behind their husbands at a distance.	abusive	We Muslim women walk behind our husbands at a distance.	not abusive
Muslim women wear a burqa.	not abusive	potential stereotype	outward_appearance	Muslim women wear a burqa, according to a recent survey reported by the journal 'Sociology of Religion'.	not abusive	All Muslim women wear a burqa.	abusive	Muslim women always wear a burqa.	not abusive	If you are a Muslim woman, you wear a burqa.	not abusive	Yasmin is a Muslim and she wears a burqa.	not abusive	Many Muslim women wear a burqa.	not abusive	Some Muslim women wear a burqa.	not abusive	We Muslim women wear a burqa.	not abusive
Muslim women wear headscarves.	not abusive	potential stereotype	outward_appearance	According to survey data published in the journal 'Sociology of Religion', Muslim women wear headscarves.	not abusive	All Muslim women wear headscarves.	not abusive	Muslim women always wear headscarves.	abusive	If you are a Muslim woman, you wear headscarves.	tie	Yasmin is a Muslim and she wears a headscarf.	not abusive	Many Muslim women wear headscarves.	not abusive	Some Muslim women wear headscarves.	not abusive	We Muslim women wear headscarves.	not abusive
Muslim women wear long black gowns during shopping or outdoors.	abusive	potential stereotype	outward_appearance	According to survey data published in the journal 'Sociology of Religion', Muslim women wear long black gowns during shopping or outdoors.	not abusive	All Muslim women wear long black gowns during shopping or outdoors.	abusive	Muslim women always wear long black gowns during shopping or outdoors.	abusive	If you are a Muslim woman, you wear long black gowns during shopping or outdoors.	abusive	Yasmin is a Muslim and she wears a long black gown during shopping or outdoors.	not abusive	Many Muslim women wear long black gowns during shopping or outdoors.	not abusive	Some Muslim women wear long black gowns during shopping or outdoors.	not abusive	We Muslim women wear long black gowns during shopping or outdoors.	abusive
Muslim young boys dress fashionably.	not abusive	potential stereotype	outward_appearance	According to survey data published in the journal ‘Social Media and Society', Muslim young boys dress fashionably.	not abusive	All Muslim young boys dress fashionably.	not abusive	Muslim young boys always dress fashionably.	not abusive	If you are a young Muslim, you dress fashionably.	not abusive	Ali is a young Muslim and he dresses fashionably.	not abusive	Many Muslim young boys dress fashionably.	not abusive	Some Muslim young boys dress fashionably.	not abusive	We Muslim young boys dress fashionably.	not abusive
Muslims are on the bus.	tie	potential stereotype	preferences	Muslims are on the bus, according to a recent survey reported by the journal 'Cross-Cultural Research'.	tie	not applicable	not applicable	Muslims are always on the bus.	abusive	If you are a Muslim, you are on the bus.	abusive	Ali is a Muslim and he is on the bus.	not abusive	Many Muslims are on the bus.	abusive	Some Muslims are on the bus.	not abusive	We Muslims are on the bus.	tie
Women act thoughtfully.	not abusive	potential stereotype	competence	According to survey data published in the journal 'Political Psychology', women act thoughtfully.	not abusive	All women act thoughtfully.	not abusive	Women always act thoughtfully.	abusive	If you are a woman, you act thoughtfully.	not abusive	Mary is a woman and she acts thoughtfully.	not abusive	Many women act thoughtfully.	not abusive	Some women act thoughtfully.	not abusive	We women act thoughtfully.	abusive
Women have sensitive hearing even while sleeping.	not abusive	prevalent characteristic	physiology/biology/medicine	According to survey data published in the journal 'Psychology of Women Quarterly', women have sensitive hearing even while sleeping.	not abusive	All women have sensitive hearing even while sleeping.	not abusive	Women always have sensitive hearing even while sleeping.	not abusive	If you are a woman, you have sensitive hearing even while sleeping.	abusive	Mary is a woman and she has sensitive hearing even while sleeping.	not abusive	Many women have sensitive hearing even while sleeping.	not abusive	Some women have sensitive hearing even while sleeping.	not abusive	We women have sensitive hearing even while sleeping.	abusive
Women are attractive.	not abusive	potential stereotype	outward_appearance	Women are attractive, according to a recent survey reported by the journal of 'Social Media and Society'.	not abusive	All women are attractive.	abusive	Women are always attractive.	abusive	If you are a woman, you are attractive.	abusive	Mary is a woman and she is attractive.	not abusive	Many women are attractive.	not abusive	Some women are attractive.	not abusive	We women are attractive.	not abusive
Women’s bodies keep changing throughout their 20s.	tie	prevalent characteristic	physiology/biology/medicine	A recent survey published in the 'Journal of Women's Health' reported that women’s bodies keep changing throughout their 20s.	not abusive	All women’s bodies keep changing throughout their 20s.	not abusive	Women’s bodies always keep changing throughout their 20s.	not abusive	If you are a woman, your body keeps changing throughout your 20s.	not abusive	Mary is a woman and her body keeps changing throughout her 20s.	not abusive	Many women’s bodies keep changing throughout their 20s.	not abusive	Some women’s bodies keep changing throughout their 20s.	not abusive	As women, our bodies keep changing throughout our 20s.	not abusive
