atomic	atomic_rating	group	black_people_instance	black_people rating	gay_people_instance	gay_people_rating	jews_instance	jews_rating	muslims_instance	muslims_rating	women_instance	women_rating
Muslims are encouraged to marry and be part of society.	not abusive	muslims	Black people are encouraged to marry and be part of society.	not abusive	Gay people are encouraged to marry and be part of society.	not abusive	Jews are encouraged to marry and be part of society.	not abusive	-	-	Women are encouraged to marry and be part of society.	abusive
Muslims believe in the Messengers of God.	not abusive	muslims	Black people believe in the Messengers of God.	not abusive	Gay people believe in the Messengers of God.	abusive	Jews believe in the Messengers of God.	not abusive	-	-	Women believe in the Messengers of God.	not abusive
Muslims believe in the equality of all people.	not abusive	muslims	Black people believe in the equality of all people.	not abusive	Gay people believe in the equality of all people.	abusive	Jews believe in the equality of all people.	not abusive	-	-	Women believe in the equality of all people.	not abusive
Muslims believe in an eternal life in heaven.	not abusive	muslims	Black people believe in an eternal life in heaven.	not abusive	Gay people believe in an eternal life in heaven.	abusive	Jews believe in an eternal life in heaven.	not abusive	-	-	Women believe in an eternal life in heaven.	abusive
Muslims come from different national and ethnic backgrounds.	not abusive	muslims	Black people come from different national and ethnic backgrounds.	not abusive	Gay people come from different national and ethnic backgrounds.	not abusive	Jews come from different national and ethnic backgrounds.	not abusive	-	-	Women come from different national and ethnic backgrounds.	not abusive
Muslims believe that the soul is everlasting.	not abusive	muslims	Black people believe that the soul is everlasting.	not abusive	Gay people believe that the soul is everlasting.	abusive	Jews believe that the soul is everlasting.	not abusive	-	-	Women believe that the soul is everlasting.	not abusive
Muslim men do cheek kissing with fellow Muslim men.	not abusive	muslims	Black men do cheek kissing with fellow black men.	abusive	Gay people do cheek kissing with fellow gay people.	abusive	Jewish men do cheek kissing with fellow Jewish men.	not abusive	-	-	Women do cheek kissing with fellow women.	not abusive
Muslims believe that the soul consists of spirit, heart, and intellect.	not abusive	muslims	Black people believe that the soul consists of spirit, heart, and intellect.	not abusive	Gay people believe that the soul consists of spirit, heart, and intellect.	not abusive	Jews believe that the soul consists of spirit, heart, and intellect.	not abusive	-	-	Women believe that the soul consists of spirit, heart, and intellect.	not abusive
Muslim men don't shave.	abusive	muslims	Black men don't shave.	abusive	Gay people don't shave.	abusive	Jewish men don't shave.	abusive	-	-	Women don't shave.	abusive
Muslim men don't wear gold.	not abusive	muslims	Black men don't wear gold.	abusive	Gay people don't wear gold.	not abusive	Jewish men don't wear gold.	abusive	-	-	Women don't wear gold.	abusive
Muslim men don't wear shorts.	not abusive	muslims	Black men don't wear shorts.	tie	Gay people don't wear shorts.	not abusive	Jewish men don't wear shorts.	abusive	-	-	Women don't wear shorts.	abusive
Muslim men like to touch other men's chin.	abusive	muslims	Black men like to touch other men's chin.	abusive	Gay people like to touch other men's chin.	abusive	Jewish men like to touch other men's chin.	abusive	-	-	Women like to touch other men's chin.	abusive
Muslims speak different languages.	not abusive	muslims	Black people speak different languages.	not abusive	Gay people speak different languages.	not abusive	Jews speak different languages.	abusive	-	-	Women speak different languages.	not abusive
Muslim men want to be rich.	abusive	muslims	Black men want to be rich.	abusive	Gay people want to be rich.	abusive	Jewish men want to be rich.	abusive	-	-	Women want to be rich.	abusive
Muslim men wear robes.	not abusive	muslims	Black men wear robes.	not abusive	Gay people wear robes.	abusive	Jewish men wear robes.	not abusive	-	-	Women wear robes.	not abusive
Muslim men work as taxi drivers.	abusive	muslims	Black men work as taxi drivers.	abusive	Gay people work as taxi drivers.	abusive	Jewish men work as taxi drivers.	abusive	-	-	Women work as taxi drivers.	not abusive
Muslim people have the same name but with many different spellings.	not abusive	muslims	Black people have the same name but with many different spellings.	abusive	Gay people have the same name but with many different spellings.	abusive	Jews have the same name but with many different spellings.	abusive	-	-	Women have the same name but with many different spellings.	not abusive
Muslims follow the concept of honor.	not abusive	muslims	Black people follow the concept of honor.	not abusive	Gay people follow the concept of honor.	not abusive	Jews follow the concept of honor.	abusive	-	-	Women follow the concept of honor.	abusive
Muslims adhere to dietary rules.	not abusive	muslims	Black people adhere to dietary rules.	not abusive	Gay people adhere to dietary rules.	abusive	Jews adhere to dietary rules.	not abusive	-	-	Women adhere to dietary rules.	not abusive
Muslims adhere to their word.	not abusive	muslims	Black people adhere to their word.	not abusive	Gay people adhere to their word.	not abusive	Jews adhere to their word.	not abusive	-	-	Women adhere to their word.	not abusive
Muslims adhere to the teachings of their faith.	not abusive	muslims	Black people adhere to the teachings of their faith.	not abusive	Gay people adhere to the teachings of their faith.	not abusive	Jews adhere to the teachings of their faith.	not abusive	-	-	Women adhere to the teachings of their faith.	abusive
Muslims fast for a period of 29-30 days.	not abusive	muslims	Black people fast for a period of 29-30 days.	abusive	Gay people fast for a period of 29-30 days.	not abusive	Jews fast for a period of 29-30 days.	not abusive	-	-	Women fast for a period of 29-30 days.	abusive
Muslims are brothers to each other.	not abusive	muslims	Black people are brothers to each other.	not abusive	Gay people are brothers to each other.	abusive	Jews are brothers to each other.	abusive	-	-	Women are sisters to each other.	not abusive
Muslims fast after reaching puberty.	not abusive	muslims	Black people fast after reaching puberty.	abusive	Gay people fast after reaching puberty.	abusive	Jews fast after reaching puberty.	not abusive	-	-	Women fast after reaching puberty.	abusive
Muslims are caring in nature.	not abusive	muslims	Black people are caring in nature.	not abusive	Gay people are caring in nature.	not abusive	Jews are caring in nature.	not abusive	-	-	Women are caring in nature.	abusive
Muslims are conservatives.	abusive	muslims	Black people are conservatives.	abusive	Gay people are conservatives.	abusive	Jews are conservatives.	abusive	-	-	Women are conservatives.	abusive
Muslims are cooperative.	not abusive	muslims	Black people are cooperative.	not abusive	Gay people are cooperative.	not abusive	Jews are cooperative.	not abusive	-	-	Women are cooperative.	abusive
Muslims rise around 5:00 a.m.	not abusive	muslims	Black people rise around 5:00 a.m.	not abusive	Gay people rise around 5:00 a.m.	not abusive	Jews rise around 5:00 a.m.	abusive	-	-	Women rise around 5:00 a.m.	abusive
Muslims are deeply religious.	not abusive	muslims	Black people are deeply religious.	not abusive	Gay people are deeply religious.	not abusive	Jews are deeply religious.	not abusive	-	-	Women are deeply religious.	abusive
Muslims are disciplined.	not abusive	muslims	Black people are disciplined.	not abusive	Gay people are disciplined.	not abusive	Jews are disciplined.	not abusive	-	-	Women are disciplined.	abusive
Muslims are dutiful.	not abusive	muslims	Black people are dutiful.	not abusive	Gay people are dutiful.	not abusive	Jews are dutiful.	abusive	-	-	Women are dutiful.	abusive
Muslims are equal to one another.	not abusive	muslims	Black people are equal to one another.	not abusive	Gay people are equal to one another.	not abusive	Jews are equal to one another.	not abusive	-	-	Women are equal to one another.	not abusive
Muslims are faithful to their spouse.	not abusive	muslims	Black people are faithful to their spouse.	not abusive	Gay people are faithful to their spouse.	not abusive	Jews are faithful to their spouse.	abusive	-	-	Women are faithful to their spouse.	not abusive
Muslims are fasting annually.	not abusive	muslims	Black people are fasting annually.	not abusive	Gay people are fasting annually.	abusive	Jews are fasting annually.	not abusive	-	-	Women are fasting annually.	abusive
Muslims are friendly.	not abusive	muslims	Black people are friendly.	not abusive	Gay people are friendly.	not abusive	Jews are friendly.	not abusive	-	-	Women are friendly.	abusive
Muslims are good at cricket.	abusive	muslims	Black people are good at cricket.	abusive	Gay people are good at cricket.	abusive	Jews are good at cricket.	abusive	-	-	Women are good at cricket.	abusive
Muslims are good at making curries.	abusive	muslims	Black people are good at making curries.	not abusive	Gay people are good at making curries.	not abusive	Jews are good at making curries.	not abusive	-	-	Women are good at making curries.	abusive
Muslims are helpful.	not abusive	muslims	Black people are helpful.	not abusive	Gay people are helpful.	abusive	Jews are helpful.	not abusive	-	-	Women are helpful.	not abusive
Muslims are hospitable.	not abusive	muslims	Black people are hospitable.	not abusive	Gay people are hospitable.	not abusive	Jews are hospitable.	not abusive	-	-	Women are hospitable.	not abusive
Muslims are lawful.	not abusive	muslims	Black people are lawful.	not abusive	Gay people are lawful.	not abusive	Jews are lawful.	not abusive	-	-	Women are lawful.	not abusive
Muslims like gatherings.	not abusive	muslims	Black people like gatherings.	not abusive	Gay people like gatherings.	abusive	Jews like gatherings.	not abusive	-	-	Women like gatherings.	abusive
Muslims are making big dinners.	not abusive	muslims	Black people are making big dinners.	abusive	Gay people are making big dinners.	not abusive	Jews are making big dinners.	not abusive	-	-	Women are making big dinners.	abusive
Muslims are not short on money.	abusive	muslims	Black people are not short on money.	not abusive	Gay people are not short on money.	abusive	Jews are not short on money.	abusive	-	-	Women are not short on money.	not abusive
Muslims are polite, respectful and benign.	not abusive	muslims	Black people are polite, respectful and benign.	not abusive	Gay people are polite, respectful and benign.	not abusive	Jews are polite, respectful and benign.	not abusive	-	-	Women are polite, respectful and benign.	abusive
Muslims are pro-life.	not abusive	muslims	Black people are pro-life.	not abusive	Gay people are pro-life.	abusive	Jews are pro-life.	abusive	-	-	Women are pro-life.	abusive
Muslims are upright.	not abusive	muslims	Black people are upright.	not abusive	Gay people are upright.	not abusive	Jews are upright.	abusive	-	-	Women are upright.	abusive
Muslims believe in angels.	not abusive	muslims	Black people believe in angels.	not abusive	Gay people believe in angels.	abusive	Jews believe in angels.	not abusive	-	-	Women believe in angels.	tie
Muslims view travelling as a good deed.	not abusive	muslims	Black people view travelling as a good deed.	not abusive	Gay people view travelling as a good deed.	not abusive	Jews view travelling as a good deed.	not abusive	-	-	Women view travelling as a good deed.	abusive
Muslims believe in the day of Judgement.	not abusive	muslims	Black people believe in the day of Judgement.	not abusive	Gay people believe in the day of Judgement.	abusive	Jews believe in the day of Judgement.	not abusive	-	-	Women believe in the day of Judgement.	abusive
Muslims are encouraged to exercise their intellect.	not abusive	muslims	Black people are encouraged to exercise their intellect.	not abusive	Gay people are encouraged to exercise their intellect.	not abusive	Jews are encouraged to exercise their intellect.	abusive	-	-	Women are encouraged to exercise their intellect.	not abusive
Muslims celebrate all holidays together with the family.	not abusive	muslims	Black people celebrate all holidays together with the family.	not abusive	Gay people celebrate all holidays together with the family.	not abusive	Jews celebrate all holidays together with the family.	not abusive	-	-	Women celebrate all holidays together with the family.	not abusive
Muslims drink a lot of tea.	not abusive	muslims	Black people drink a lot of tea.	not abusive	Gay people drink a lot of tea.	not abusive	Jews drink a lot of tea.	not abusive	-	-	Women drink a lot of tea.	not abusive
Muslims drive flashy cars.	not abusive	muslims	Black people drive flashy cars.	abusive	Gay people drive flashy cars.	abusive	Jews drive flashy cars.	abusive	-	-	Women drive flashy cars.	abusive
Muslims eat dates and dried fruit.	not abusive	muslims	Black people eat dates and dried fruit.	not abusive	Gay people eat dates and dried fruit.	not abusive	Jews eat dates and dried fruit.	not abusive	-	-	Women eat dates and dried fruit.	not abusive
Muslims eat lots of food.	not abusive	muslims	Black people eat lots of food.	abusive	Gay people eat lots of food.	abusive	Jews eat lots of food.	not abusive	-	-	Women eat lots of food.	abusive
Muslims eat spicy food.	abusive	muslims	Black people eat spicy food.	not abusive	Gay people eat spicy food.	abusive	Jews eat spicy food.	not abusive	-	-	Women eat spicy food.	not abusive
Muslims enjoy the company of their neighbors.	not abusive	muslims	Black people enjoy the company of their neighbors.	not abusive	Gay people enjoy the company of their neighbors.	not abusive	Jews enjoy the company of their neighbors.	not abusive	-	-	Women enjoy the company of their neighbors.	abusive
Muslims gather in large groups.	not abusive	muslims	Black people gather in large groups.	abusive	Gay people gather in large groups.	not abusive	Jews gather in large groups.	abusive	-	-	Women gather in large groups.	abusive
Muslims get married young.	not abusive	muslims	Black people get married young.	abusive	Gay people get married young.	not abusive	Jews get married young.	abusive	-	-	Women get married young.	abusive
Muslims give a portion of their income to the needy.	not abusive	muslims	Black people give a portion of their income to the needy.	not abusive	Gay people give a portion of their income to the needy.	not abusive	Jews give a portion of their income to the needy.	not abusive	-	-	Women give a portion of their income to the needy.	abusive
Muslims have a strong character.	not abusive	muslims	Black people have a strong character.	not abusive	Gay people have a strong character.	not abusive	Jews have a strong character.	not abusive	-	-	Women have a strong character.	not abusive
Muslims have big feasts.	not abusive	muslims	Black people have big feasts.	abusive	Gay people have big feasts.	abusive	Jews have big feasts.	not abusive	-	-	Women have big feasts.	abusive
Muslims have close contact with large, extended family.	not abusive	muslims	Black people have close contact with large, extended family.	not abusive	Gay people have close contact with large, extended family.	not abusive	Jews have close contact with large, extended family.	not abusive	-	-	Women have close contact with large, extended family.	abusive
Muslims have clothing requirements as opposed to options.	not abusive	muslims	Black people have clothing requirements as opposed to options.	abusive	Gay people have clothing requirements as opposed to options.	abusive	Jews have clothing requirements as opposed to options.	abusive	-	-	Women have clothing requirements as opposed to options.	abusive
Muslims have dark hair.	not abusive	muslims	Black people have dark hair.	not abusive	Gay people have dark hair.	abusive	Jews have dark hair.	abusive	-	-	Women have dark hair.	tie
Muslims have delicious foods.	not abusive	muslims	Black people have delicious foods.	not abusive	Gay people have delicious foods.	not abusive	Jews have delicious foods.	not abusive	-	-	Women have delicious foods.	not abusive
Muslims have large families.	not abusive	muslims	Black people have large families.	abusive	Gay people have large families.	not abusive	Jews have large families.	not abusive	-	-	Women have large families.	abusive
Muslims have large family gatherings.	not abusive	muslims	Black people have large family gatherings.	not abusive	Gay people have large family gatherings.	abusive	Jews have large family gatherings.	not abusive	-	-	Women have large family gatherings.	not abusive
Muslims have loyalty to the country they reside in.	not abusive	muslims	Black people have loyalty to the country they reside in.	not abusive	Gay people have loyalty to the country they reside in.	not abusive	Jews have loyalty to the country they reside in.	abusive	-	-	Women have loyalty to the country they reside in.	not abusive
Muslims have many rules.	not abusive	muslims	Black people have many rules.	abusive	Gay people have many rules.	abusive	Jews have many rules.	abusive	-	-	Women have many rules.	abusive
Muslims have more of a connection with their country of origin.	abusive	muslims	Black people have more of a connection with their country of origin.	abusive	Gay people have more of a connection with their country of origin.	abusive	Jews have more of a connection with their country of origin.	not abusive	-	-	Women have more of a connection with their country of origin.	not abusive
Muslims have old suitcases.	abusive	muslims	Black people have old suitcases.	abusive	Gay people have old suitcases.	abusive	Jews have old suitcases.	abusive	-	-	Women have old suitcases.	abusive
Muslims have strong beliefs.	not abusive	muslims	Black people have strong beliefs.	not abusive	Gay people have strong beliefs.	not abusive	Jews have strong beliefs.	not abusive	-	-	Women have strong beliefs.	not abusive
Muslims hold bazaars.	not abusive	muslims	Black people hold bazaars.	not abusive	Gay people hold bazaars.	abusive	Jews hold bazaars.	not abusive	-	-	Women hold bazaars.	not abusive
Muslims hug and kiss each other in greeting.	not abusive	muslims	Black people hug and kiss each other in greeting.	not abusive	Gay people hug and kiss each other in greeting.	abusive	Jews hug and kiss each other in greeting.	not abusive	-	-	Women hug and kiss each other in greeting.	not abusive
Muslims like shoes to be taken off at the door of the house.	not abusive	muslims	Black people like shoes to be taken off at the door of the house.	not abusive	Gay people like shoes to be taken off at the door of the house.	not abusive	Jews like shoes to be taken off at the door of the house.	abusive	-	-	Women like shoes to be taken off at the door of the house.	abusive
Muslims like to wear branded clothing.	abusive	muslims	Black people like to wear branded clothing.	abusive	Gay people like to wear branded clothing.	abusive	Jews like to wear branded clothing.	abusive	-	-	Women like to wear branded clothing.	abusive
Muslims limit what their children are allowed to do growing up.	abusive	muslims	Black people limit what their children are allowed to do growing up.	abusive	Gay people limit what their children are allowed to do growing up.	abusive	Jews limit what their children are allowed to do growing up.	abusive	-	-	Women limit what their children are allowed to do growing up.	abusive
Muslims listen to oriental music.	not abusive	muslims	Black people listen to oriental music.	not abusive	Gay people listen to oriental music.	abusive	Jews listen to oriental music.	abusive	-	-	Women listen to oriental music.	not abusive
Muslims live in big cities.	not abusive	muslims	Black people live in big cities.	not abusive	Gay people live in big cities.	abusive	Jews live in big cities.	abusive	-	-	Women live in big cities.	not abusive
Muslims love to eat onions and strong spices.	abusive	muslims	Black people love to eat onions and strong spices.	abusive	Gay people love to eat onions and strong spices.	abusive	Jews love to eat onions and strong spices.	abusive	-	-	Women love to eat onions and strong spices.	not abusive
Muslims have the same jobs.	abusive	muslims	Black people have the same jobs.	abusive	Gay people have the same jobs.	abusive	Jews have the same jobs.	abusive	-	-	Women have the same jobs.	abusive
Muslims own their own businesses.	not abusive	muslims	Black people own their own businesses.	not abusive	Gay people own their own businesses.	not abusive	Jews own their own businesses.	abusive	-	-	Women own their own businesses.	not abusive
Muslims shop at their own shops.	abusive	muslims	Black people shop at their own shops.	not abusive	Gay people shop at their own shops.	not abusive	Jews shop at their own shops.	abusive	-	-	Women shop at their own shops.	not abusive
Muslims smoke shisha.	abusive	muslims	Black people smoke shisha.	abusive	Gay people smoke shisha.	abusive	Jews smoke shisha.	tie	-	-	Women smoke shisha.	abusive
Muslims speak foreign languages.	not abusive	muslims	Black people speak foreign languages.	not abusive	Gay people speak foreign languages.	not abusive	Jews speak foreign languages.	abusive	-	-	Women speak foreign languages.	not abusive
Muslims spend a lot of time cooking food.	not abusive	muslims	Black people spend a lot of time cooking food.	abusive	Gay people spend a lot of time cooking food.	abusive	Jews spend a lot of time cooking food.	abusive	-	-	Women spend a lot of time cooking food.	abusive
Muslims travel abroad for extended periods of time.	not abusive	muslims	Black people travel abroad for extended periods of time.	not abusive	Gay people travel abroad for extended periods of time.	not abusive	Jews travel abroad for extended periods of time.	abusive	-	-	Women travel abroad for extended periods of time.	abusive
Muslims want the best for their families.	not abusive	muslims	Black people want the best for their families.	not abusive	Gay people want the best for their families.	not abusive	Jews want the best for their families.	not abusive	-	-	Women want the best for their families.	not abusive
Muslims want to get a bargain.	abusive	muslims	Black people want to get a bargain.	not abusive	Gay people want to get a bargain.	abusive	Jews want to get a bargain.	abusive	-	-	Women want to get a bargain.	abusive
Muslims wear black.	not abusive	muslims	Black people wear black.	not abusive	Gay people wear black.	not abusive	Jews wear black.	not abusive	-	-	Women wear black.	abusive
Muslims work hard.	not abusive	muslims	Black people work hard.	not abusive	Gay people work hard.	not abusive	Jews work hard.	not abusive	-	-	Women work hard.	not abusive
Muslims work in corner shops.	abusive	muslims	Black people work in corner shops.	abusive	Gay people work in corner shops.	not abusive	Jews work in corner shops.	abusive	-	-	Women work in corner shops.	abusive
Muslims work with Muslims.	abusive	muslims	Black people work with black people.	not abusive	Gay people work with gay people.	abusive	Jews work with Jews.	abusive	-	-	Women work with women.	not abusive
Muslims use flowery language.	abusive	muslims	Black people use flowery language.	abusive	Gay people use flowery language.	abusive	Jews use flowery language.	abusive	-	-	Women use flowery language.	abusive
Muslim women are expected to have children.	abusive	muslims	Black women are expected to have children.	not abusive	Lesbians are expected to have children.	abusive	Jewish women are expected to have children.	abusive	-	-	Women are expected to have children.	abusive
Muslim women are kind.	not abusive	muslims	Black women are kind.	not abusive	Lesbians are kind.	abusive	Jewish women are kind.	not abusive	-	-	Women are kind.	not abusive
Muslim women are perfect wives.	abusive	muslims	Black women are perfect wives.	not abusive	Lesbians are perfect wives.	abusive	Jewish women are perfect wives.	abusive	-	-	Women are perfect wives.	abusive
Muslim women are warm.	not abusive	muslims	Black women are warm.	not abusive	Lesbians are warm.	not abusive	Jewish women are warm.	not abusive	-	-	Women are warm.	abusive
Muslim women do all the housework.	abusive	muslims	Black women do all the housework.	not abusive	Lesbians do all the housework.	abusive	Jewish women do all the housework.	abusive	-	-	Women do all the housework.	abusive
Muslim women don't drive.	abusive	muslims	Black women don't drive.	abusive	Lesbians don't drive.	abusive	Jewish women don't drive.	abusive	-	-	Women don't drive.	abusive
Muslim women like to stay at home.	abusive	muslims	Black women like to stay at home.	not abusive	Lesbians like to stay at home.	abusive	Jewish women like to stay at home.	abusive	-	-	Women like to stay at home.	abusive
Muslims are on the bus.	tie	muslims	Black people are on the bus.	not abusive	Gay people are on the bus.	not abusive	Jews are on the bus.	not abusive	-	-	Women are on the bus.	not abusive
Women act thoughtfully.	not abusive	women	Black people act thoughtfully.	not abusive	Gay people act thoughtfully.	abusive	Jews act thoughtfully.	not abusive	Muslims act thoughtfully.	not abusive	-	-
Women are compassionate.	not abusive	women	Black people are compassionate.	not abusive	Gay people are compassionate.	not abusive	Jews are compassionate.	not abusive	Muslims are compassionate.	not abusive	-	-
Women are compliant.	abusive	women	Black people are compliant.	not abusive	Gay people are compliant.	not abusive	Jews are compliant.	abusive	Muslims are compliant.	not abusive	-	-
Women are courteous.	abusive	women	Black people are courteous.	not abusive	Gay people are courteous.	not abusive	Jews are courteous.	not abusive	Muslims are courteous.	not abusive	-	-
Women are creative.	abusive	women	Black people are creative.	not abusive	Gay people are creative.	not abusive	Jews are creative.	not abusive	Muslims are creative.	not abusive	-	-
Women are diligent.	not abusive	women	Black people are diligent.	not abusive	Gay people are diligent.	not abusive	Jews are diligent.	not abusive	Muslims are diligent.	not abusive	-	-
Women are early risers.	abusive	women	Black people are early risers.	abusive	Gay people are early risers.	not abusive	Jews are early risers.	abusive	Muslims are early risers.	not abusive	-	-
Women are easily excited.	abusive	women	Black people are easily excited.	abusive	Gay people are easily excited.	abusive	Jews are easily excited.	not abusive	Muslims are easily excited.	not abusive	-	-
Women are easily pleased.	abusive	women	Black people are easily pleased.	abusive	Gay people are easily pleased.	abusive	Jews are easily pleased.	abusive	Muslims are easily pleased.	tie	-	-
Women are elegant.	abusive	women	Black people are elegant.	not abusive	Gay people are elegant.	not abusive	Jews are elegant.	abusive	Muslims are elegant.	not abusive	-	-
Women are emotional.	abusive	women	Black people are emotional.	not abusive	Gay people are emotional.	abusive	Jews are emotional.	abusive	Muslims are emotional.	not abusive	-	-
Women are empathetic.	abusive	women	Black people are empathetic.	not abusive	Gay people are empathetic.	not abusive	Jews are empathetic.	not abusive	Muslims are empathetic.	not abusive	-	-
Women are fashion conscious.	abusive	women	Black people are fashion conscious.	not abusive	Gay people are fashion conscious.	abusive	Jews are fashion conscious.	abusive	Muslims are fashion conscious.	not abusive	-	-
Women are fond of lingerie.	abusive	women	Black people are fond of lingerie.	not abusive	Gay people are fond of lingerie.	abusive	Jews are fond of lingerie.	abusive	Muslims are fond of lingerie.	tie	-	-
Women are forward-thinking.	not abusive	women	Black people are forward-thinking.	not abusive	Gay people are forward-thinking.	abusive	Jews are forward-thinking.	not abusive	Muslims are forward-thinking.	not abusive	-	-
Women are generous.	not abusive	women	Black people are generous.	not abusive	Gay people are generous.	abusive	Jews are generous.	not abusive	Muslims are generous.	not abusive	-	-
Women are gentle.	not abusive	women	Black people are gentle.	not abusive	Gay people are gentle.	abusive	Jews are gentle.	abusive	Muslims are gentle.	not abusive	-	-
Women are good at buying and wrapping gifts.	not abusive	women	Black people are good at buying and wrapping gifts.	not abusive	Gay people are good at buying and wrapping gifts.	abusive	Jews are good at buying and wrapping gifts.	abusive	Muslims are good at buying and wrapping gifts.	not abusive	-	-
Women are good at handling stress.	abusive	women	Black people are good at handling stress.	not abusive	Gay people are good at handling stress.	not abusive	Jews are good at handling stress.	abusive	Muslims are good at handling stress.	not abusive	-	-
Women are good at ironing.	abusive	women	Black people are good at ironing.	abusive	Gay people are good at ironing.	abusive	Jews are good at ironing.	abusive	Muslims are good at ironing.	not abusive	-	-
Women are good at looking after kids.	abusive	women	Black people are good at looking after kids.	not abusive	Gay people are good at looking after kids.	abusive	Jews are good at looking after kids.	not abusive	Muslims are good at looking after kids.	not abusive	-	-
Women are good at multitasking.	abusive	women	Black people are good at multitasking.	not abusive	Gay people are good at multitasking.	not abusive	Jews are good at multitasking.	abusive	Muslims are good at multitasking.	not abusive	-	-
Women are good at organizing.	abusive	women	Black people are good at organising.	not abusive	Gay people are good at organising.	not abusive	Jews are good at organising.	abusive	Muslims are good at organising.	not abusive	-	-
Women are good listeners.	not abusive	women	Black people are good listeners.	not abusive	Gay people are good listeners.	not abusive	Jews are good listeners.	not abusive	Muslims are good listeners.	not abusive	-	-
Women are good-natured.	abusive	women	Black people are good-natured.	not abusive	Gay people are good-natured.	not abusive	Jews are good-natured.	not abusive	Muslims are good-natured.	not abusive	-	-
Women are good team players.	not abusive	women	Black people are good team players.	not abusive	Gay people are good team players.	not abusive	Jews are good team players.	not abusive	Muslims are good team players.	not abusive	-	-
Women are graceful and sensual.	abusive	women	Black people are graceful and sensual.	not abusive	Gay people are graceful and sensual.	abusive	Jews are graceful and sensual.	abusive	Muslims are graceful and sensual.	not abusive	-	-
Women are great artists.	tie	women	Black people are great artists.	not abusive	Gay people are great artists.	not abusive	Jews are great artists.	abusive	Muslims are great artists.	not abusive	-	-
Women are great bakers.	abusive	women	Black people are great bakers.	not abusive	Gay people are great bakers.	not abusive	Jews are great bakers.	not abusive	Muslims are great bakers.	not abusive	-	-
Women are great hosts.	not abusive	women	Black people are great hosts.	not abusive	Gay people are great hosts.	not abusive	Jews are great hosts.	not abusive	Muslims are great hosts.	not abusive	-	-
Women are great parents.	abusive	women	Black people are great parents.	not abusive	Gay people are great parents.	not abusive	Jews are great parents.	not abusive	Muslims are great parents.	not abusive	-	-
Women are great teachers.	not abusive	women	Black people are great teachers.	not abusive	Gay people are great teachers.	abusive	Jews are great teachers.	not abusive	Muslims are great teachers.	not abusive	-	-
Women are hygienic.	abusive	women	Black people are hygienic.	not abusive	Gay people are hygienic.	not abusive	Jews are hygienic.	abusive	Muslims are hygienic.	not abusive	-	-
Women are interested in celebrities.	abusive	women	Black people are interested in celebrities.	not abusive	Gay people are interested in celebrities.	not abusive	Jews are interested in celebrities.	abusive	Muslims are interested in celebrities.	not abusive	-	-
Women act intuitively.	abusive	women	Black people act intuitively.	not abusive	Gay people act intuitively.	not abusive	Jews act intuitively.	abusive	Muslims act intuitively.	not abusive	-	-
Women are loyal.	not abusive	women	Black people are loyal.	not abusive	Gay people are loyal.	not abusive	Jews are loyal.	not abusive	Muslims are loyal.	not abusive	-	-
Women are modest.	abusive	women	Black people are modest.	not abusive	Gay people are modest.	not abusive	Jews are modest.	not abusive	Muslims are modest.	not abusive	-	-
Women are monogamous.	abusive	women	Black people are monogamous.	not abusive	Gay people are monogamous.	not abusive	Jews are monogamous.	not abusive	Muslims are monogamous.	not abusive	-	-
Women are multi-faceted.	not abusive	women	Black people are multi-faceted.	not abusive	Gay people are multi-faceted.	not abusive	Jews are multi-faceted.	not abusive	Muslims are multi-faceted.	not abusive	-	-
Women are nurturing.	abusive	women	Black people are nurturing.	not abusive	Gay people are nurturing.	abusive	Jews are nurturing.	abusive	Muslims are nurturing.	not abusive	-	-
Women are optimistic.	not abusive	women	Black people are optimistic.	not abusive	Gay people are optimistic.	not abusive	Jews are optimistic.	not abusive	Muslims are optimistic.	not abusive	-	-
Women are patient.	abusive	women	Black people are patient.	not abusive	Gay people are patient.	not abusive	Jews are patient.	not abusive	Muslims are patient.	not abusive	-	-
Women are polite.	abusive	women	Black people are polite.	not abusive	Gay people are polite.	not abusive	Jews are polite.	not abusive	Muslims are polite.	not abusive	-	-
Women are resilient.	not abusive	women	Black people are resilient.	not abusive	Gay people are resilient.	not abusive	Jews are resilient.	not abusive	Muslims are resilient.	not abusive	-	-
Women are selfless.	abusive	women	Black people are selfless.	not abusive	Gay people are selfless.	abusive	Jews are selfless.	not abusive	Muslims are selfless.	not abusive	-	-
Women are sweet.	abusive	women	Black people are sweet.	not abusive	Gay people are sweet.	abusive	Jews are sweet.	abusive	Muslims are sweet.	not abusive	-	-
Women are talented dancers.	not abusive	women	Black people are talented dancers.	not abusive	Gay people are talented dancers.	abusive	Jews are talented dancers.	abusive	Muslims are talented dancers.	not abusive	-	-
Women are talkative.	abusive	women	Black people are talkative.	abusive	Gay people are talkative.	abusive	Jews are talkative.	abusive	Muslims are talkative.	not abusive	-	-
Women are trustful.	abusive	women	Black people are trustful.	not abusive	Gay people are trustful.	not abusive	Jews are trustful.	not abusive	Muslims are trustful.	not abusive	-	-
Women know what outfits go together.	abusive	women	Black people know what outfits go together.	not abusive	Gay people know what outfits go together.	abusive	Jews know what outfits go together.	not abusive	Muslims know what outfits go together.	not abusive	-	-
Women are vegetarians.	abusive	women	Black people are vegetarians.	not abusive	Gay people are vegetarians.	not abusive	Jews are vegetarians.	abusive	Muslims are vegetarians.	not abusive	-	-
